"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88","Should validate JSON Schema on Login","","Thu Nov 21 13:16:16 GMT 2024","passed","Thu Nov 21 13:16:16 GMT 2024","","tests.login.schema.PostAuthSchemaTest","tests.login.schema.PostAuthSchemaTest","shouldValideJsonSchemaOnLogin"
"","79","Should not return a product with invalid ID","","Thu Nov 21 13:16:17 GMT 2024","passed","Thu Nov 21 13:16:17 GMT 2024","","tests.products.GetProductsTest","tests.products.GetProductsTest","shouldReturnErrorProducInvalidId"
"","93","Should not return Products with expired Access Token","","Thu Nov 21 13:16:13 GMT 2024","passed","Thu Nov 21 13:16:14 GMT 2024","","tests.products.GetAuthProductsTest","tests.products.GetAuthProductsTest","shouldNotGetProductsWithExpiredToken"
"","91","Should validate JSON Schema on Health Check APi Service","","Thu Nov 21 13:16:16 GMT 2024","passed","Thu Nov 21 13:16:16 GMT 2024","","tests.healthCheck.schema.HealtCheckSchemaTest","tests.healthCheck.schema.HealtCheckSchemaTest","shouldValidateHealthCheckJsonSchema"
"","363","Should return all products with authentication","","Thu Nov 21 13:16:14 GMT 2024","passed","Thu Nov 21 13:16:14 GMT 2024","","tests.products.GetAuthProductsTest","tests.products.GetAuthProductsTest","shouldReturnAllProducts"
"","94","Should Validade Health Check APi Service","","Thu Nov 21 13:16:17 GMT 2024","passed","Thu Nov 21 13:16:17 GMT 2024","","tests.healthCheck.GetHealthCheckTest","tests.healthCheck.GetHealthCheckTest","shouldValidateApiHealthCheckResponse"
"","80","Should validate JSON Schema on return Users response","","Thu Nov 21 13:16:17 GMT 2024","passed","Thu Nov 21 13:16:17 GMT 2024","","tests.users.schema.GetUsersSchemaTest","tests.users.schema.GetUsersSchemaTest","shouldValidateHealthCheckJsonSchema"
"","112","Should return all products with no authentication required","","Thu Nov 21 13:16:18 GMT 2024","passed","Thu Nov 21 13:16:18 GMT 2024","","tests.products.GetProductsTest","tests.products.GetProductsTest","shouldReturnAllProducts"
"","95","Should not authenticate without username","","Thu Nov 21 13:16:17 GMT 2024","passed","Thu Nov 21 13:16:17 GMT 2024","","tests.login.PostAuthLoginTest","tests.login.PostAuthLoginTest","shouldThrowErrorForRequiredUsername"
"","109","Should not return products without authentication","","Thu Nov 21 13:16:13 GMT 2024","passed","Thu Nov 21 13:16:13 GMT 2024","","tests.products.GetAuthProductsTest","tests.products.GetAuthProductsTest","shouldNotGetProductsWithNoToken"
"","100","Should validate JSON Schema on add products response","","Thu Nov 21 13:16:16 GMT 2024","passed","Thu Nov 21 13:16:17 GMT 2024","","tests.products.schema.PostAddProductsSchemaTest","tests.products.schema.PostAddProductsSchemaTest","shouldValideJsonSchemaonAddProductsResponse"
"","309","Should validate JSON Schema on Get All Products with authentication","","Thu Nov 21 13:16:16 GMT 2024","passed","Thu Nov 21 13:16:16 GMT 2024","","tests.products.schema.GetAuthProductsSchemaTest","tests.products.schema.GetAuthProductsSchemaTest","shouldValidateJsonSchemaGetAllProductsWithAuth"
"","96","Should not authenticate without username and password","","Thu Nov 21 13:16:17 GMT 2024","passed","Thu Nov 21 13:16:17 GMT 2024","","tests.login.PostAuthLoginTest","tests.login.PostAuthLoginTest","shouldThrowErrorForRequiredUsernameAndPassword"
"","161","Should Authenticate using correctly credentials","","Thu Nov 21 13:16:17 GMT 2024","passed","Thu Nov 21 13:16:17 GMT 2024","","tests.login.PostAuthLoginTest","tests.login.PostAuthLoginTest","shouldAuthenticateWithSuccess"
"","197","Should return product by ID","","Thu Nov 21 13:16:17 GMT 2024","passed","Thu Nov 21 13:16:18 GMT 2024","","tests.products.GetProductsTest","tests.products.GetProductsTest","shouldProductById"
"","101","Should not authenticate without password","","Thu Nov 21 13:16:17 GMT 2024","passed","Thu Nov 21 13:16:17 GMT 2024","","tests.login.PostAuthLoginTest","tests.login.PostAuthLoginTest","shouldThrowErrorForRequiredPassword"
"","157","Should return All users","","Thu Nov 21 13:16:18 GMT 2024","passed","Thu Nov 21 13:16:18 GMT 2024","","tests.users.GetUsersTest","tests.users.GetUsersTest","getUsersTest"
"","162","Should add Product","","Thu Nov 21 13:16:18 GMT 2024","passed","Thu Nov 21 13:16:18 GMT 2024","","tests.products.PostAddProductsTest","tests.products.PostAddProductsTest","shouldReturnAllProducts"
"","83","Should not return any user by invalid id","","Thu Nov 21 13:16:18 GMT 2024","passed","Thu Nov 21 13:16:18 GMT 2024","","tests.users.GetUsersTest","tests.users.GetUsersTest","shouldNotReturnUserByInvalidId"
"","224","Should return a especific user by id","","Thu Nov 21 13:16:18 GMT 2024","passed","Thu Nov 21 13:16:18 GMT 2024","","tests.users.GetUsersTest","tests.users.GetUsersTest","shouldReturnUserById"
"","97","Should not authenticate with invalid credentials","","Thu Nov 21 13:16:17 GMT 2024","passed","Thu Nov 21 13:16:17 GMT 2024","","tests.login.PostAuthLoginTest","tests.login.PostAuthLoginTest","shouldThrowInvalidCredentialsError"
